Sort/#Items,2,2,3,4,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,100000,
Bubble,9653,3561,710,817,882,3181,5182,8293,8731,9333,12321,13915,17889,20338,26595,30380,35246,42198,52757,56381,61561,65378,72846,67836,132090,270708,467566,619410,739652,911403,1147602,1402118,1749746,6790905,16368326,30954613,50319762,77063822,114843517,156929726,212750171,268921133,36847070839,
TerryShaker,2962,142,294,192,221,484,812,1223,1786,2298,3855,5456,4783,7499,7366,9561,9546,11615,10681,12059,13089,14716,32061,17632,64151,138373,199081,134453,168204,223200,279462,357966,438275,1118964,2274466,4061354,6079009,8904704,12756820,17650428,23092578,28994338,4475158436,
Merge,10256,828,993,888,950,1997,2710,3412,4738,4884,9144,6729,8452,10038,10561,10100,11866,9284,9581,12910,11298,11774,12519,9156,20348,29999,42730,52718,69158,76159,87676,99249,111110,240483,375783,511679,657137,799529,926532,1026412,1185127,1337457,18484876,
Quick,8022,482,749,785,561,1485,1477,1614,3031,2735,6050,4561,4888,5967,4990,7518,7399,6561,7880,7861,7468,7934,8820,8788,21100,29305,32333,32352,38623,45129,53417,58907,68156,150975,238855,318080,417009,503465,598058,644208,730609,838092,11124348,
Insertion,4226,338,337,342,382,577,899,1260,1509,3116,5260,3284,4076,4690,5745,7844,7564,9128,12515,13112,16353,17955,19179,21319,67797,138949,134314,104304,146871,201899,261992,292904,221830,881969,2058399,3576587,5695812,8254331,11483350,15448923,20738044,26133028,4095861964,
Selection,11301,651,375,399,412,781,1292,1919,2631,4223,4486,5752,7207,8532,10098,11698,13478,15455,17535,19965,22287,24697,27299,30807,111756,149997,156626,209950,290081,323522,341934,431376,531914,2077791,4392078,7708285,12224421,19459640,28266981,39589021,51663564,65628800,9780080884,
Shaker,14158,1580,454,396,396,1039,1996,3245,4169,8309,7414,8451,11231,14144,16254,18833,20186,24662,27570,30932,38331,42033,48498,53979,171267,203583,251622,332905,501284,617706,620544,1084835,934204,3609678,8268109,15340345,24137649,36910572,54380420,74905477,100584675,129920280,22205007789,
